시군명,업종구분명,시설명,교습과정명,전화번호,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,학원,소리샘음악학원,예능(대),031-582-4849,12411,경기도 가평군 가평읍 읍내리 1031-12번지 1층,"경기도 가평군 가평읍 보납로74번길 6-4 , 1층 (가평읍)",37.8308509662,127.5185457798
가평군,학원,일리노이학원,종합(대),031-581-3663,12417,경기도 가평군 가평읍 읍내리 563-5번지,경기도 가평군 가평읍 향교로 33-3 (가평읍),37.8306357301,127.5094660630
가평군,교습소,디딤돌수학교습소,보통교과,031-585-3395,12437,경기도 가평군 조종면 현리 264-50번지 2층,"경기도 가평군 조종면 현창로38번길 7-1 , 2층 (조종면)",37.8189570382,127.3487151422
가평군,학원,한빛입시학원,입시.검정 및 보습,,12416,경기도 가평군 가평읍 대곡리 261-3번지 3층,"경기도 가평군 가평읍 석봉로 121 , 3층 (가평읍)",37.8260478207,127.5117835452
가평군,학원,뿌리깊은수학전문학원,입시.검정 및 보습,031-581-3100,12418,경기도 가평군 가평읍 읍내리 329-29번지 2층,"경기도 가평군 가평읍 보납로6번길 37 , 2층 (가평읍)",37.8279766059,127.5121020265
가평군,학원,지식의샘학원,입시.검정 및 보습,031-584-4909,12465,경기도 가평군 설악면 신천리 465-2번지 2층,"경기도 가평군 설악면 신천중앙로 132-1 , 2층 (설악면)",37.6780408303,127.4891698839
가평군,학원,가평소미미술학원,예능(대),031-582-9078,12417,경기도 가평군 가평읍 읍내리 530-3번지 1층,"경기도 가평군 가평읍 향교로 32 , 1층 (가평읍)",37.8304013888,127.5094546694
가평군,교습소,생각키움수학교습소,보통교과,,12416,경기도 가평군 가평읍 대곡리 245번지 3층,"경기도 가평군 가평읍 석봉로 126 , 3층 (가평읍)",37.8263902888,127.5121017674
가평군,학원,상상입시학원,입시.검정 및 보습,,12416,경기도 가평군 가평읍 대곡리 312번지 상상입시학원,"경기도 가평군 가평읍 광장로 27 , 상상입시학원 (가평읍)",37.8256695262,127.5088290994
가평군,교습소,창공미술교습소,예능,031-585-3397,12452,경기도 가평군 청평면 청평리 319-63번지,경기도 가평군 청평면 청평중앙로72번길 15 (청평면),37.7383153824,127.4228564212
가평군,학원,박피아노학원,예능(대),031-582-8685,12417,경기도 가평군 가평읍 읍내리 535번지 2층,"경기도 가평군 가평읍 향교로 4 , 2층 (가평읍)",37.8296532260,127.5102954827
가평군,학원,PIS영어학원,입시.검정 및 보습,031-582-3373,12417,경기도 가평군 가평읍 대곡리 275-1번지 2층,"경기도 가평군 가평읍 석봉로 129 , 2층 (가평읍)",37.8266877781,127.5115563834
가평군,학원,장은영음악학원,예능(대),031-582-6070,12414,경기도 가평군 가평읍 읍내리 609번지,경기도 가평군 가평읍 석봉로 193 (가평읍),37.8323932859,127.5095912922
가평군,학원,한빛자기주도학습관독서실,독서실,031-581-0622,12416,경기도 가평군 가평읍 대곡리 261-10번지 2층,"경기도 가평군 가평읍 석봉로 123 , 2층 (가평읍)",37.8262461149,127.5117381243
가평군,교습소,프로수학교습소,보통교과,,12451,경기도 가평군 청평면 청평리 472번지 청평세양청마루아파트 상가 104호,"경기도 가평군 청평면 경춘로 807-45 , 상가 104호 (청평면, 청평세양청마루아파트)",37.7395639070,127.4165105625
가평군,교습소,임정서당서예교습소,기타,031-585-3908,12444,경기도 가평군 상면 연하리 221-14번지 임정서예서당,"경기도 가평군 상면 비룡로 2230 (상면, 임정서예서당)",37.8023521263,127.3466816000
가평군,학원,정수천컴퓨터학원,기타(대),031-582-7507,12417,경기도 가평군 가평읍 대곡리 277-6번지 2층,"경기도 가평군 가평읍 석봉로 139-1 , 2층 (가평읍)",37.8274629324,127.5113292384
가평군,교습소,송라수학교습소,보통교과,,12451,경기도 가평군 청평면 청평리 470-37번지 청평청구아파트 청구단지 상가 307호,"경기도 가평군 청평면 경춘로 807-18 , 청구단지상가 307호 (청평면, 청평청구아파트)",37.7383840594,127.4177830500
가평군,학원,신영학원,입시.검정 및 보습,,12416,경기도 가평군 가평읍 대곡리 261-10번지 오토오아시스 3층,"경기도 가평군 가평읍 석봉로 123 , 3층 (가평읍, 오토오아시스)",37.8262461149,127.5117381243
고양시,학원,임선생영수학원,입시.검정 및 보습,031-904-3536,10323,경기도 고양시 일산동구 식사동 1558-11번지 happy 2층일부,"경기도 고양시 일산동구 위시티2로 43-26 , happy 2층일부 (식사동)",37.6760052940,126.8147070874
고양시,교습소,조상숙수학교습소,보통교과,,10375,경기도 고양시 일산서구 일산동 1083-1번지 대화프라자 304호 전부,"경기도 고양시 일산서구 일산로 529 , 304호 전부 (일산동, 대화프라자)",37.6769465647,126.7688278045
고양시,학원,스터디자인학원,입시.검정 및 보습,031-977-5244,10338,경기도 고양시 일산동구 중산동 1580-1번지 웅산프라자 204호,"경기도 고양시 일산동구 탄중로 421 , 웅산프라자 204호 ",37.6872062620,126.7795129817
고양시,학원,바다나무잉글리시어학원,국제화,,10550,"경기도 고양시 덕양구 삼송동 348-1번지 1층일부, 2층전체, 3층일부","경기도 고양시 덕양구 고양대로 1774 , 1층일부, 2층전체, 3층일부 (삼송동)",37.6448275244,126.8779834937
고양시,교습소,대화홍익미술교습소,예능,031-911-7757,10219,경기도 고양시 일산서구 대화동 1499번지 대화마을 상가동 104호,"경기도 고양시 일산서구 대화1로 19 , 대화마을상가동 104호 (대화동)",37.6703598395,126.7294892359
고양시,교습소,제임스잉글리쉬(JAMESENGLISH)영어교습소,보통교과,031-915-3036,10378,경기도 고양시 일산서구 주엽동 8번지 문촌마을 상가동 206호,"경기도 고양시 일산서구 대산로 187 , 문촌마을 상가동 206호 (주엽동,문촌마을)",37.6770011099,126.7573624579
고양시,학원,예지뮤직학원,예능(대),,10524,경기도 고양시 덕양구 행신동 721-5번지 1층 전체,"경기도 고양시 덕양구 무원로36번길 15-11 , 1층전체 (행신동)",37.6165060636,126.8331337252
고양시,학원,SMH제타잉글리쉬학원,입시.검정 및 보습,,10343,경기도 고양시 일산서구 탄현동 1573-3번지 유일프라자 902호,"경기도 고양시 일산서구 일현로 54 , 902호 (탄현동, 유일프라자)",37.6916590700,126.7635112722
고양시,교습소,리틀쇼팽피아노교습소,예능,031-919-0803,10369,경기도 고양시 일산서구 대화동 2018-3번지 1층,경기도 고양시 일산서구 웅비로12번길 5-17   1층 (대화동),37.6842741603,126.7572672652
고양시,학원,웅진씽크빅학습센터풍동학원,입시.검정 및 보습,031-932-7134,10306,경기도 고양시 일산동구 풍동 1280-1번지 풍동미래타워 804호,"경기도 고양시 일산동구 숲속마을로 44 , 풍동미래타워 804호 ",37.6674090687,126.7982544029
고양시,교습소,그리미미술교습소,예능,031-907-9344,10417,경기도 고양시 일산동구 마두동 732번지 백마마을3단지 202호일부,"경기도 고양시 일산동구 일산로 206-1 , 202호일부 (마두동, 백마마을3단지)",37.6546020138,126.7908473953
고양시,학원,감성수학학원,입시.검정 및 보습,031-813-1885,10417,경기도 고양시 일산동구 마두동 723-3번지 백일빌딩 5층 일부,"경기도 고양시 일산동구 일산로 234 , 백일빌딩5층일부(마두동) ",37.6572216519,126.7888158162
고양시,학원,하우스터디일산마두센터독서실,독서실,,10416,경기도 고양시 일산동구 마두동 759번지 백마프라자 502호,"경기도 고양시 일산동구 강송로 180 , 502호 (마두동, 백마프라자)",37.6547217116,126.7838061686
고양시,학원,맥그로영어학원,입시.검정 및 보습,,10336,경기도 고양시 일산동구 중산동 1561-3번지 삼성프라자 402호,"경기도 고양시 일산동구 탄중로 311-8 , 402호 (중산동,삼성프라자)",37.6939245735,126.7800831657
고양시,교습소,지미잉글리쉬영어교습소,보통교과,,10387,경기도 고양시 일산서구 주엽동 109-1번지 일산우신프라자 503호,"경기도 고양시 일산서구 주화로 70 , 일산우신프라자503호(주엽동) ",37.6697457909,126.7602808453
고양시,교습소,위드유아트미술교습소,예능,,10323,경기도 고양시 일산동구 식사동 1504번지 위시티일산자이4단지아파트 304호,"경기도 고양시 일산동구 위시티4로 45 , 304호 일부 (식사동, 위시티일산자이4단지아파트)",37.6799048591,126.8157145466
고양시,학원,도래울베스트학원,입시.검정 및 보습,,10551,경기도 고양시 덕양구 도내동 1091번지 태종빌딩 204호.205호,"경기도 고양시 덕양구 도래울1로 57 , 태종빌딩 204호.205호 (도내동)",37.6286646468,126.8691199894
고양시,학원,엘린EM학원,국제화,031-967-1690,10324,"경기도 고양시 일산동구 식사동 1582-1번지 202호, 203호","경기도 고양시 일산동구 위시티로 32 , 202호, 203호 (식사동)",37.6753041410,126.8088508377
고양시,학원,알파플러스수학학원,입시.검정 및 보습,031-969-5875,10477,"경기도 고양시 덕양구 화정동 909-2번지 은하수빌딩 802호, 801호 일부","경기도 고양시 덕양구 은빛로 43 , 802호, 801호 일부 (화정동,은하수빌딩)",37.6381623627,126.8326568487
고양시,학원,엠아이음악학원,예능(대),,10551,"경기도 고양시 덕양구 도내동 1107번지 고양 원흥 동일스위트상가동 206호,207호","경기도 고양시 덕양구 도래울1로 80 , 206호,207호 (도내동, 고양 원흥 동일스위트상가동)",37.6264457779,126.8705099707
고양시,교습소,오월의정원미술교습소,예능,,10209,경기도 고양시 일산서구 가좌동 308-1번지 마루프라자 나동 2층 일부,"경기도 고양시 일산서구 가좌3로 7-1 , 마루프라자 나동 2층 일부 (가좌동)",37.6854228548,126.7201923221
고양시,학원,솔므홈케어아카데미학원,직업기술,031-1588-2252,10253,경기도 고양시 일산동구 설문동 135-33번지 1동,"경기도 고양시 일산동구 문원길 91-4 , 1동 (설문동)",37.7150682844,126.8162195184
고양시,교습소,이봄논술교습소,보통교과,,10384,경기도 고양시 일산서구 주엽동 128번지 문촌마을18단지 205호,"경기도 고양시 일산서구 주엽로 101 , 205호 (주엽동, 문촌마을18단지)",37.6683826721,126.7556454856
고양시,학원,마테마타수학학원,입시.검정 및 보습,031-906-1195,10416,경기도 고양시 일산동구 마두동 751번지 2층,"경기도 고양시 일산동구 일산로 237 , 2층 (마두동)",37.6571180669,126.7880798953
고양시,교습소,스팀수학교습소,보통교과,,10361,경기도 고양시 일산서구 주엽동 63번지 강선마을상가동 201호 일부 (중간),"경기도 고양시 일산서구 강선로 74 , 201호일부(중간)(주엽동,강선마을상가동) (주엽동)",37.6703382311,126.7656610162
고양시,교습소,글린까클라리넷교습소,예능,031-907-8599,10415,경기도 고양시 일산동구 마두동 785-2번지 3층 일부,경기도 고양시 일산동구 강송로 167   3층 일부 (마두동),37.6535313436,126.7837042368
고양시,교습소,플라톤아카데미후곡독서논술교습소,보통교과,,10371,경기도 고양시 일산서구 일산동 1057번지 후곡마을8단지 201호,"경기도 고양시 일산서구 후곡로 11 , 201호 (일산동, 후곡마을8단지)",37.6787293521,126.7627432280
고양시,학원,케이엠일산학원,입시.검정 및 보습,031-918-9003,10387,경기도 고양시 일산서구 주엽동 115-1번지 시대프라자 902호 일부,경기도 고양시 일산서구 주엽로 134  시대프라자 902호 일부 (주엽동),37.6707056974,126.7581282251
고양시,학원,유티학원,입시.검정 및 보습,,10551,경기도 고양시 덕양구 도내동 966번지 307호 308호,"경기도 고양시 덕양구 도래울로 110 , 307호 308호 (도내동)",37.6349108261,126.8724899705
고양시,교습소,서일영어교습소,보통교과,,10294,경기도 고양시 덕양구 성사동 869번지 원당e-편한세상상가가동 205호,"경기도 고양시 덕양구 호국로 859 , 원당e-편한세상상가가동 205호 (성사동)",37.6594781643,126.8389511069
고양시,학원,플래뮤일산미술학원,예능(대),031-965-1325,10323,경기도 고양시 일산동구 식사동 1543-4번지 2층 일부,"경기도 고양시 일산동구 위시티2로11번길 6-9 , 2층일부 (식사동)",37.6767410116,126.8125797286
고양시,학원,인스카이해법수학영어학원,입시.검정 및 보습,031-994-4721,10388,경기도 고양시 일산서구 주엽동 30-2번지 현대프라자 201호,"경기도 고양시 일산서구 대산로 123 , 현대프라자 201호 (주엽동)",37.6742462951,126.7636267231
고양시,학원,디자인레디미술학원,예능(대),031-911-4689,10386,경기도 고양시 일산서구 주엽동 106-2번지 씨티2000빌딩 406호,"경기도 고양시 일산서구 중앙로 1415 , 406호 (주엽동,씨티2000빌딩)",37.6691738850,126.7625089421
고양시,교습소,이룸국어교습소,보통교과,,10310,경기도 고양시 일산동구 중산동 1841번지 일산센트럴아이파크 상가 2동 202호,"경기도 고양시 일산동구 중산로 70 , 202호 (중산동, 일산센트럴아이파크 상가2동)",37.6778900794,126.7845247417
고양시,학원,OMA실용음악학원,기타(대),031-973-5001,10500,경기도 고양시 덕양구 화정동 983번지 화정종합상가 507호 일부,"경기도 고양시 덕양구 화중로 60 , 507호 일부 (화정동,화정종합상가)",37.6324374988,126.8308153810
고양시,학원,마두씨아이영어학원,입시.검정 및 보습,031-902-5048,10416,경기도 고양시 일산동구 마두동 737번지 두성코아 403호 일부,"경기도 고양시 일산동구 일산로 213 , 403호 일부 (마두동, 두성코아)",37.6551691405,126.7892321807
고양시,학원,주엽황스트링음악학원,예능(대),031-918-8439,10388,경기도 고양시 일산서구 주엽동 51-1번지 백마조합상가 306호,"경기도 고양시 일산서구 대산로 113 , 306호 (주엽동,백마조합상가)",37.6738192065,126.7645154316
고양시,교습소,빠져드는수학교습소,보통교과,,10394,경기도 고양시 일산동구 장항동 1758-1번지 일산한류월드유보라더스마트 259호,"경기도 고양시 일산동구 태극로 11 , 259호 (장항동)",37.6635042264,126.7510116068
고양시,교습소,에이치티수학교습소,보통교과,070-4133-7977,10518,경기도 고양시 덕양구 행신동 999-1번지 그랑프리빌딩 402호,경기도 고양시 덕양구 중앙로 559  그랑프리빌딩 402호 (행신동),37.6235455700,126.8347479770
고양시,학원,하이클래스학원,입시.검정 및 보습,031-923-0456,10209,경기도 고양시 일산서구 가좌동 398-10번지 다인타운 202호,"경기도 고양시 일산서구 가좌1로 63 , 202호 (가좌동,다인타운)",37.6867911138,126.7185674982
고양시,학원,잇올스파르타주엽관리형독서실,독서실,,10386,"경기도 고양시 일산서구 주엽동 106-2번지 CITY2000빌딩 601호, 602호","경기도 고양시 일산서구 중앙로 1415 , 601호, 602호 (주엽동, CITY2000빌딩)",37.6691738850,126.7625089421
고양시,교습소,혜원음악교습소,예능,031-973-2577,10517,경기도 고양시 덕양구 행신동 621-4번지 대성빌딩 401호,경기도 고양시 덕양구 행신로 155-12   대성빌딩 401호 (행신동),37.6197039044,126.8327992144
