complex_id,name,lawd_cd,option_stage,households,current_m2_won,post_redev_m2_won,gross_uplift,n_new_within_2km,status
2849,목동4단지,11470,4,1382,,,,0,N/A(2km 안 최근 5년 신축 부족)
2850,목동5단지,11470,4,1848,,,,0,N/A(2km 안 최근 5년 신축 부족)
2839,목동7단지,11470,4,2550,,,,0,N/A(2km 안 최근 5년 신축 부족)
2785,목동8단지,11470,4,1352,,,,1,N/A(2km 안 최근 5년 신축 부족)
2771,목동9단지,11470,4,2030,,,,1,N/A(2km 안 최근 5년 신축 부족)
2735,성산시영아파트,11440,4,3710,,,,6,N/A(2km 안 최근 5년 신축 부족)
3866,신반포4차,11650,4,1212,,,,5,N/A(2km 안 최근 5년 신축 부족)
2908,신월시영아파트,11470,4,2256,,,,1,N/A(2km 안 최근 5년 신축 부족)
3389,여의도시범아파트,11560,4,1584,,,,1,N/A(2km 안 최근 5년 신축 부족)
1730,중화한신아파트,11260,4,1544,,,,3,N/A(2km 안 최근 5년 신축 부족)
1627,청량리미주,11230,4,1089,,,,6,N/A(2km 안 최근 5년 신축 부족)
519,부평현대1단지,28237,4,2204,4532738,7973214,1.759,5,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
5639,박달우성,41171,3,1020,5327381,,,1,N/A(2km 안 최근 5년 신축 부족)
8545,수지4차삼성,41465,3,1137,,,,1,N/A(2km 안 최근 5년 신축 부족)
6521,안산월드1단지,41271,3,1070,,,,0,N/A(2km 안 최근 5년 신축 부족)
4390,고덕주공9단지,11740,3,1320,20708333,22500000,1.087,4,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
4089,대치선경,11680,3,1034,,,,5,N/A(2km 안 최근 5년 신축 부족)
3873,래미안원베일리,11650,3,2990,69345238,53095238,0.766,4,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
2652,마포도화우성아파트,11440,3,1222,,,,2,N/A(2km 안 최근 5년 신축 부족)
2832,목동3단지,11470,3,1588,,,,0,N/A(2km 안 최근 5년 신축 부족)
2395,미성아파트(불광동),11380,3,1340,,,,2,N/A(2km 안 최근 5년 신축 부족)
2287,상계보람,11350,3,3315,,,,1,N/A(2km 안 최근 5년 신축 부족)
2254,상계주공6단지,11350,3,2646,,,,1,N/A(2km 안 최근 5년 신축 부족)
2145,월계시영고층,11350,3,3930,,,,3,N/A(2km 안 최근 5년 신축 부족)
2347,중계그린,11350,3,3481,,,,0,N/A(2km 안 최근 5년 신축 부족)
384,만수주공2단지아파트,28200,3,1920,3517857,,,1,N/A(2km 안 최근 5년 신축 부족)
521,부평3주구 현대아파트,28237,3,1200,,,,8,N/A(2km 안 최근 5년 신축 부족)
