lawd_cd,emd_name,zone_type,effective_from,effective_to,confidence,exclude,source_url
11545,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11560,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11590,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11620,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11650,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11680,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11710,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11740,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41290,,조정대상지역,2016-11-03,2025-10-16,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41290,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41131,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41133,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41135,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41131,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41133,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41135,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41450,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41450,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41281,,조정대상지역,2016-11-03,2019-11-08,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41285,,조정대상지역,2016-11-03,2019-11-08,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41287,,조정대상지역,2016-11-03,2019-11-08,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41281,삼송동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41281,원흥동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41281,지축동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41281,향동동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41281,덕은동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41281,대화동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41281,장항동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41285,삼송동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41285,원흥동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41285,지축동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41285,향동동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41285,덕은동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41285,대화동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41285,장항동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41287,삼송동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41287,원흥동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41287,지축동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41287,향동동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41287,덕은동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41287,대화동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41287,장항동,조정대상지역,2019-11-08,2020-06-19,PROXY,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41281,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41285,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41287,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41360,,조정대상지역,2016-11-03,2019-11-08,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41360,다산동,조정대상지역,2019-11-08,2020-06-19,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41360,별내동,조정대상지역,2019-11-08,2020-06-19,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41360,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,화도읍|수동면|조안면,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,청계동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,영천동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,오산동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,신동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,중동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,목동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,산척동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,장지동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,송동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,방교동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,금곡동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,청계동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,영천동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,오산동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,신동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,중동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,목동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,산척동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,장지동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,송동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,방교동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,금곡동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,청계동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,영천동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,오산동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,신동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,중동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,목동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,산척동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,장지동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,송동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,방교동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,금곡동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,청계동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,영천동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,오산동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,신동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,중동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,목동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,산척동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,장지동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,송동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,방교동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,금곡동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,청계동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,영천동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,오산동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,신동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,중동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,목동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,산척동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,장지동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,송동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,방교동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,금곡동,조정대상지역,2016-11-03,2020-06-19,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41591,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41593,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41595,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41597,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41590,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41210,,조정대상지역,2017-06-19,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41210,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41310,,조정대상지역,2018-08-28,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41173,,조정대상지역,2018-08-28,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41173,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41117,이의동,조정대상지역,2018-08-28,2020-02-21,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41117,원천동,조정대상지역,2018-08-28,2020-02-21,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41117,하동,조정대상지역,2018-08-28,2020-02-21,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41117,매탄동,조정대상지역,2018-08-28,2020-02-21,PROXY,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41115,,조정대상지역,2018-12-31,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41117,,조정대상지역,2020-02-21,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41113,,조정대상지역,2020-02-21,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41111,,조정대상지역,2020-02-21,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41171,,조정대상지역,2020-02-21,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41430,,조정대상지역,2020-02-21,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41430,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41117,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41111,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41115,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41465,,조정대상지역,2018-12-31,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41465,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
41463,,조정대상지역,2018-12-31,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41461,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,포곡읍|모현읍|백암면|양지면|원삼면,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41192,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41194,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41196,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41190,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41271,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41273,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41390,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41410,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41370,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41220,,조정대상지역,2020-06-19,2022-09-26,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41610,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,초월읍|곤지암읍|도척면|퇴촌면|남종면|남한산성면,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41630,,조정대상지역,2020-06-19,2022-09-26,VERIFIED,백석읍|남면|광적면|은현면,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41150,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
41550,,조정대상지역,2020-06-19,2022-09-26,VERIFIED,일죽면|죽산면|삼죽면|미양면|대덕면|양성면|고삼면|보개면|서운면|금광면,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41570,,조정대상지역,2020-11-20,2022-11-14,VERIFIED,통진읍|월곶면|하성면|대곶면,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41480,,조정대상지역,2020-12-18,2022-09-26,VERIFIED,문산읍|파주읍|법원읍|조리읍|월롱면|탄현면|광탄면|파평면|적성면|군내면|장단면|진동면|진서면,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
41250,,조정대상지역,2021-08-30,2022-09-26,VERIFIED,광암동|걸산동|안흥동|상봉암동|하봉암동|탑동동,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
28110,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28140,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28177,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28185,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28200,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28237,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28245,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28260,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28710,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28720,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28125,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28155,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28275,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28290,,조정대상지역,2020-06-19,2022-11-14,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
28110,,조정대상지역,2020-12-18,2022-11-14,VERIFIED,을왕동|남북동|덕교동|무의동,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
11110,,투기과열지구,2017-08-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11140,,투기과열지구,2017-08-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11170,,투기과열지구,2017-08-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11200,,투기과열지구,2017-08-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11215,,투기과열지구,2017-08-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11230,,투기과열지구,2017-08-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
