amsmtFclty,appnNtfcDate,cltrFclty,cnvnncFclty,etcFclty,institutionNm,insttCode,insttNm,latitude,lnmadr,longitude,manageNo,mvmFclty,parkAr,parkNm,parkSe,phoneNumber,rdnmadr,referenceDate
조합놀이대1+그네1+모래놀이시설,,,화장실1음수대1,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.625135,서울특별시 은평구 응암동 115-25,126.918535,11380-00005,어깨손목돌리기1+무릎펴서걷기1+온몸비틀기1,987.8,포수동어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1+유아용조합놀이대1+그네1+흔들놀이2,,,화장실1,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.603973,서울특별시 은평구 증산동 185-1,126.923728,11380-00006,철봉1,999.6,시루메어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1+그네1+시소2+흔들놀이2,,,화장실1,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.605114,서울특별시 은평구 역촌동 32-36,126.938126,11380-00007,온몸허리돌리기2+거꾸리머신1+온몸근육풀기1+온몸지압기1+하늘걷기1+옆파도타기1,956,연서어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1+그네1+모래놀이시설,,,화장실1화장실1+관리실1,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.601679,서울특별시 은평구 역촌동 39-2,126.923517,11380-00008,온몸허리돌리기+옆파도타기1+온몸역기올리기+온몸근육풀기1+하늘걷기+마라톤운동1,949.1,역마을어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1+그네1+유아조합놀이대1+흔들놀이대2+모래놀이시설,,,화장실1+음수대1,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.598043,서울특별시 은평구 역촌동 47-1,126.919446,11380-00009,트윈스텝싸이클1+트윈체어풀1+트윈크로스컨트리1+철봉1+파도타기1+공중걷기1,966.3,역말어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1,,,,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.595367,서울특별시 은평구 역촌동 8-11,126.917374,11380-00010,롤링웨이스트1+크로스컨트리1,1256.9,인조유기비어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1+유아용조합놀이대1+흔들놀이2+기타2+건너는기구1+모래놀이시설,,,공중전화2+시계탑1+화장실1+음수대2,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.601073,서울특별시 은평구 대조동 212,126.918478,11380-00011,옆파도타기1+온몸근육풀기1+온몸역기올리기1+마라톤운동1+온몸지압기1+온몸허리돌리기1+하늘걷기1+거꾸리머신1+바디싣업1,4176.9,대조어린이공원,어린이공원,02-350-5248,,2026-07-16
,,,,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.615120,서울특별시 은평구 구산동 345-6,126.907780,11380-00095,,157,구산동마을공원확대,기타,02-350-5248,,2026-07-16
,,,담쟁이담장,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.595602,서울특별시 은평구 구산동 153-2,126.919066,11380-00096,,135,구산초교앞마을마당,기타,02-350-5248,,2026-07-16
,,,,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.597018,서울특별시 은평구 대조동 240-3,126.906734,11380-00097,온몸지압기1+온몸허리돌리기1+파도타기1+하체근육풀기1,268.8,팜스퀘어 소공원,기타,02-350-5248,,2026-07-16
,,,,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.593894,서울특별시 은평구 신사동 163-51,126.908112,11380-00098,허리돌리기1+오금펴기1+상체근육풀기1+하체근육풀기1+양팔로프당기기1+등+허리지압기1,1848,신사2동 공공공지,기타,02-350-5248,,2026-07-16
,,,,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.591562,서울특별시 은평구 응암동 365-30,126.902567,11380-00099,하늘걷기1+옆회전운동1+원그리기운동1,139,오손길마을마당,기타,02-350-5248,,2026-07-16
,1988-12-17,,,,부산광역시 사하구청,3340000,부산광역시 사하구,35.06616046,부산광역시 사하구 다대동 113-7,128.9788592,26380-00022,,2099.7,해송공원,어린이공원,051-220-4522,,2025-11-05
,2005-12-29,,,,서울특별시 강동구청,3240000,서울특별시 강동구,37.558585,서울특별시 강동구 강일동 산11-6,127.174682,11740-00072,배드민턴장+체력단련기구,46699.6,강덕공원,근린공원,02-3425-6440,,2023-08-18
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.501139,서울특별시 송파구 가락본동 14,127.1247542,11710-00120,,1500,훙이,어린이공원,02-2147-3380,서울특별시 송파구 송이로17길 48,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.49861927,서울특별시 송파구 마천동 578,127.1557171,11710-00122,,921,늘푸른,소공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.516291,서울특별시 송파구 방이동 42-2,127.1119805,11710-00123,,1651.3,평화,소공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.49761457,서울특별시 송파구 가락동 479,127.1025318,11710-00136,,1617.7,가락1(시영아파트),어린이공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.512706,서울특별시 송파구 잠실동 27 일원,127.095491,11710-00134,,10741,잠실주공5단지 근린공원,근린공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.494489,서울특별시 송파구 거여동 200-4 일대,127.147614,11710-00135,,10569,향유(거마재정비),근린공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.484857,서울특별시 송파구 문정동 481,127.113722,11710-00129,,20856.2,문이,근린공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.483179,서울특별시 송파구 거여동 491임 일원,127.144136,11710-00131,,200327,위례 근린공원1호,근린공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.507619,서울특별시 송파구 오금동 97-21 일원,127.136866,11710-00124,,4302,오금지구 수변공원,수변공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.492024,서울특별시 송파구 마천동 277-52,127.1572039,11710-00126,,455,돌무데기놀이터,기타,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.535938,서울특별시 송파구 풍납동 483-4,127.121564,11710-00127,,291,풍납타이어,기타,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.49761457,서울특별시 송파구 가락동 479,127.1025318,11710-00128,,19159.2,가락1(시영아파트),근린공원,02-2147-3380,,2024-08-12
,,,,,서울특별시 송파구청,3230000,서울특별시 송파구,37.490844,서울특별시 송파구 거여동 산26-7임 일원,127.139533,11710-00132,,42448,위례 근린공원3호,근린공원,02-2147-3380,,2024-08-12
,1991-12-26,,,,광주광역시 광산구,6290000,광주광역시,35.1590717,광주광역시 광산구 우산동 1602-1,126.8046111,29200-00038,,8300.3,수랑어린이공원,어린이공원,062-960-6839,,2026-06-29
,1992-08-06,,,,광주광역시 광산구,6290000,광주광역시,35.18206864,광주광역시 광산구 신창동 855-22,126.8378772,29200-00040,,1594,풍영어린이공원,어린이공원,062-960-6839,,2026-06-29
,1992-12-29,,,,광주광역시 광산구,6290000,광주광역시,35.13173752,광주광역시 광산구 도산동 1318,126.7858737,29200-00041,,1591,도산어린이공원,어린이공원,062-960-6839,,2026-06-29
,1992-12-29,,,,광주광역시 광산구,6290000,광주광역시,35.12207083,광주광역시 광산구 월전동 927,126.7633948,29200-00042,,15498.8,평동역공원,근린공원,062-960-6839,,2026-06-29
,1993-07-28,,,,광주광역시 광산구,6290000,광주광역시,35.12046072,광주광역시 광산구 월전동 1061,126.7768254,29200-00043,,25291.4,원두공원,근린공원,062-960-6839,,2026-06-29
,1993-07-28,,,,광주광역시 광산구,6290000,광주광역시,35.17814516,광주광역시 광산구 운남동 769-7,126.8189208,29200-00044,,1517.4,웃음꽃어린이공원,어린이공원,062-960-6839,,2026-06-29
,1998-09-24,,,,광주광역시 도시공원관리사무소+광주광역시 북구청+광주광역시 광산구청,6290000,광주광역시,35.17036207,광주광역시 광산구 월곡동 702-1,126.8106628,29200-00063,,1505.6,기쁨어린이공원,어린이공원,062-613-6463,,2026-06-29
,1993-07-28,,,,광주광역시 광산구,6290000,광주광역시,35.17626492,광주광역시 광산구 운남동 770-1,126.8195567,29200-00045,,3374.8,목련어린이공원,어린이공원,062-960-6839,,2026-06-29
,1993-07-28,,,,광주광역시 광산구,6290000,광주광역시,35.17781372,광주광역시 광산구 운남동 771-4,126.8221399,29200-00046,,2486.5,꿈사랑어린이공원,어린이공원,062-960-6839,,2026-06-29
,1998-10-17,,,,광주광역시도시공사,6290000,광주광역시,35.14588903,광주광역시 광산구 선암동 794,126.7735723,29200-00065,,59093.5,선운공원,근린공원,062-572-4384,,2026-06-29
,2000-09-04,,,,광주광역시 남구청,6290000,광주광역시,35.22689116,광주광역시 북구 효령동 산 37,126.9210726,29170-00091,,1032420,제2시립묘지공원,묘지공원,062-607-3811,,2026-06-29
,2001-01-17,,,,광주광역시 동구청,6290000,광주광역시,35.10056669,광주광역시 남구 행암동 504,126.8788516,29155-00021,,1330.3,향등어린이공원,어린이공원,062-608-2952,,2026-06-29
,1993-07-28,,,,광주광역시 광산구,6290000,광주광역시,35.17773593,광주광역시 광산구 운남동 776-5,126.826486,29200-00047,,1920.5,뭉게뭉게어린이공원,어린이공원,062-960-6839,,2026-06-29
,1996-10-25,,,,광주광역시 광산구,6290000,광주광역시,35.184814,광주광역시 광산구 신가동 1021-1,126.8413139,29200-00049,,34409.1,신가2공원,근린공원,062-960-6839,,2026-06-29
,1996-10-25,,,,광주광역시 광산구,6290000,광주광역시,35.18578313,광주광역시 광산구 신가동 961-2,126.8319803,29200-00050,,2302.4,가온어린이공원,어린이공원,062-960-6839,,2026-06-29
,1996-10-25,,,,광주광역시 광산구,6290000,광주광역시,35.18461712,광주광역시 광산구 신가동 963-5,126.8320931,29200-00051,,2845.9,신가어린이공원,어린이공원,062-960-6839,,2026-06-29
,1996-05-23,,,,광주광역시 서구청,6290000,광주광역시,35.16205659,광주광역시 서구 유촌동 840-2,126.8541858,29140-00047,,5756,자연미소공원,근린공원,062-360-7697,,2026-06-29
,1996-05-23,,,,광주광역시 서구청,6290000,광주광역시,35.16181926,광주광역시 서구 쌍촌동 1313-1,126.8585146,29140-00048,,8451.8,계수공원,근린공원,062-360-7697,,2026-06-29
,1996-05-23,,,,광주광역시 서구청,6290000,광주광역시,35.16167573,광주광역시 서구 쌍촌동 1337-1,126.8614208,29140-00049,,9997.5,무진푸른공원,근린공원,062-360-7697,,2026-06-29
,1996-05-23,,,,광주광역시 서구청,6290000,광주광역시,35.161571,광주광역시 서구 쌍촌동 1339,126.8636304,29140-00050,,1462,상암공원,근린공원,062-360-7697,,2026-06-29
,1996-05-23,,,,광주광역시 서구청,6290000,광주광역시,35.16086648,광주광역시 서구 쌍촌동 1326-1,126.8577829,29140-00051,,3733.4,유촌어린이공원,어린이공원,062-360-7697,,2026-06-29
,1996-05-23,,,,광주광역시 서구청,6290000,광주광역시,35.15956669,광주광역시 서구 쌍촌동 1344-6,126.8651754,29140-00052,,2549.6,상일어린이공원,어린이공원,062-360-7697,,2026-06-29
,1996-07-11,,,,광주광역시 서구청,6290000,광주광역시,35.15719327,광주광역시 서구 쌍촌동 1358,126.8644969,29140-00053,,3067.2,서광어린이공원,어린이공원,062-360-7697,,2026-06-29
,1996-07-11,,,,광주광역시 서구청,6290000,광주광역시,35.16529801,광주광역시 서구 유촌동 857,126.8584369,29140-00054,,1643.3,극락어린이공원,어린이공원,062-360-7697,,2026-06-29
,1991-06-25,,,,광주광역시 광산구,6290000,광주광역시,35.13221129,광주광역시 광산구 장록동 751-1,126.7685877,29200-00028,,40038.5,월전공원,근린공원,062-960-6839,,2026-06-29
,,,,,,B552974,부산관광공사,35.10020856,부산광역시 중구 광복동 2가 1-2,129.0322778,26110-00001,,70812,용두산공원,근린공원,,부산광역시 중구 용두산길 37-55,2026-06-04
,,,,,,B552974,부산관광공사,35.05969496,부산광역시 영도구 동삼동 산 19-2,129.0798057,26200-00001,,1713763,태종대유원지,기타,,부산광역시 영도구 전망로 24,2026-06-04
,2001-08-23,,,,광주광역시 남구청,6290000,광주광역시,35.18908564,광주광역시 광산구 신창동 1210-3,126.8380742,29200-00074,,1500.3,그린나래어린이공원,어린이공원,062-607-3811,,2026-06-29
,2001-08-25,,,,광주광역시 서구청,6290000,광주광역시,35.11966885,광주광역시 남구 봉선동 88,126.9173913,29155-00022,,12056,봉선2공원,근린공원,062-360-7697,,2026-06-29
,2001-12-01,,,,광주광역시 서구청,6290000,광주광역시,35.14494601,광주광역시 서구 치평동 1280-1,126.8410629,29140-00060,,1500.1,원마륵어린이공원,어린이공원,062-360-7697,,2026-06-29
,2001-12-01,,,,광주광역시 서구청,6290000,광주광역시,35.16822605,광주광역시 서구 동천동 508,126.8573866,29140-00061,,10268,죽림공원,근린공원,062-360-7697,,2026-06-29
,2001-12-01,,,,광주광역시 서구청,6290000,광주광역시,35.16879873,광주광역시 서구 동천동 660,126.8714435,29140-00062,,10137.5,유적공원,근린공원,062-360-7697,,2026-06-29
,2001-12-01,,,,광주광역시 서구청,6290000,광주광역시,35.17039256,광주광역시 서구 동천동 503,126.8586783,29140-00063,,1601.9,백구어린이공원,어린이공원,062-360-7697,,2026-06-29
,2001-12-01,,,,광주광역시 서구청,6290000,광주광역시,35.16970318,광주광역시 서구 동천동 539,126.8616255,29140-00064,,1505.5,자미어린이공원,어린이공원,062-360-7697,,2026-06-29
,2001-12-01,,,,광주광역시 서구청,6290000,광주광역시,35.17092553,광주광역시 서구 동천동 609,126.8642108,29140-00065,,1592.5,화추어린이공원,어린이공원,062-360-7697,,2026-06-29
,2001-12-01,,,,광주광역시 서구청,6290000,광주광역시,35.1706037,광주광역시 서구 동천동 646,126.869378,29140-00066,,1742.2,행자어린이공원,어린이공원,062-360-7697,,2026-06-29
,2001-12-20,,,,광주광역시 서구청,6290000,광주광역시,35.1695199,광주광역시 서구 동천동 729,126.8730533,29140-00067,,2215.1,강나루어린이공원,어린이공원,062-608-2952,,2026-06-29
,2002-05-11,,,,광주광역시 동구청,6290000,광주광역시,35.13596946,광주광역시 동구 학동 625,126.9269173,29110-00008,,2102.6,학머리어린이공원,어린이공원,062-514-2444,,2026-06-29
,2003-09-23,,,,광주광역시 동구청,6290000,광주광역시,35.13942231,광주광역시 동구 학동 55,126.9220867,29110-00009,,122267.6,푸른길공원,근린공원,062-410-6436,,2026-06-29
,2003-09-23,,,,광주광역시 북구청,6290000,광주광역시,35.21795962,광주광역시 북구 본촌동 2849,126.8796808,29170-00092,,6671.4,본촌생태어린이공원,어린이공원,062-410-6436,,2026-06-29
,2003-09-23,,,,광주광역시 북구청,6290000,광주광역시,35.21520243,광주광역시 북구 본촌동 3076,126.8839979,29170-00093,,2171.4,부용어린이공원,어린이공원,062-410-6436,,2026-06-29
,2003-09-23,,,,광주광역시 북구청,6290000,광주광역시,35.21503422,광주광역시 북구 본촌동 2990,126.8804315,29170-00094,,1500,본촌어린이공원,어린이공원,062-410-6436,,2026-06-29
,2003-09-23,,,,광주광역시 북구청,6290000,광주광역시,35.2119028,광주광역시 북구 본촌동 3080,126.8842861,29170-00095,,3844.6,가마어린이공원,어린이공원,062-410-6436,,2026-06-29
,2003-09-23,,,,광주광역시 북구청,6290000,광주광역시,35.21073742,광주광역시 북구 양산동 764,126.8822139,29170-00096,,2828,효솔어린이공원,어린이공원,062-410-6436,,2026-06-29
,2003-09-23,,,,광주광역시 북구청,6290000,광주광역시,35.20951071,광주광역시 북구 양산동 837,126.8767285,29170-00097,,1611.4,양지어린이공원,어린이공원,062-410-6436,,2026-06-29
,2003-09-23,,,,광주광역시 북구청,6290000,광주광역시,35.20745576,광주광역시 북구 양산동 1006,126.8783428,29170-00098,,2388.7,양산달빛어린이공원,어린이공원,062-410-6436,,2026-06-29
,2003-11-12,,,,광주광역시 남구청,6290000,광주광역시,35.20584299,광주광역시 북구 양산동 1090,126.874448,29170-00099,,2061.9,본촌산단어린이공원,어린이공원,062-607-3811,,2026-06-29
,2003-11-12,,,,광주광역시 남구청,6290000,광주광역시,35.11004555,광주광역시 남구 노대동 727,126.9008286,29155-00023,,53549.1,풀빛공원,근린공원,062-607-3811,,2026-06-29
,2003-11-12,,,,광주광역시 남구청,6290000,광주광역시,35.10845728,광주광역시 남구 노대동 826,126.9065229,29155-00024,,14403.1,하늘빛공원,근린공원,062-607-3811,,2026-06-29
,2003-11-12,,,,광주광역시 남구청,6290000,광주광역시,35.10513241,광주광역시 남구 노대동 865,126.9045799,29155-00025,,44176.6,물빛공원,근린공원,062-607-3811,,2026-06-29
,1991-12-12,,,,광주광역시 광산구,6290000,광주광역시,35.22222807,광주광역시 광산구 쌍암동 653-1,126.8442514,29200-00030,,147962.1,쌍암공원,근린공원,062-960-6839,,2026-06-29
,1991-12-12,,,,광주광역시 광산구,6290000,광주광역시,35.21990624,광주광역시 광산구 쌍암동 690,126.8473664,29200-00031,,46372.3,대상공원,근린공원,062-960-6839,,2026-06-29
,1991-12-12,,,,광주광역시 광산구,6290000,광주광역시,35.21089807,광주광역시 광산구 월계동 848-1,126.8398045,29200-00032,,37279.5,무양공원,근린공원,062-960-6839,,2026-06-29
,1991-12-12,,,,광주광역시 광산구,6290000,광주광역시,35.21689594,광주광역시 광산구 월계동 760-1,126.8320336,29200-00033,,36558.6,응암공원,근린공원,062-960-6839,,2026-06-29
,1991-12-12,,,,광주광역시 광산구,6290000,광주광역시,35.20991697,광주광역시 광산구 월계동 789-1,126.8345619,29200-00034,,2783.6,도담어린이공원,어린이공원,062-960-6839,,2026-06-29
,1991-12-12,,,,광주광역시 광산구,6290000,광주광역시,35.21252773,광주광역시 광산구 월계동 815-1,126.8376235,29200-00035,,2952.4,우리들어린이공원,어린이공원,062-960-6839,,2026-06-29
,1996-11-19,,,,광주광역시 서구청,6290000,광주광역시,35.18764438,광주광역시 광산구 신가동 981-1,126.8367679,29200-00055,,2962.5,쉼목어린이공원,어린이공원,062-360-7697,,2026-06-29
,1996-12-30,,,,광주광역시 서구청,6290000,광주광역시,35.16287824,광주광역시 서구 유촌동 869,126.8590196,29140-00056,,25250.5,돛단배공원,근린공원,062-360-7697,,2026-06-29
,1996-12-30,,,,광주광역시 서구청,6290000,광주광역시,35.12390516,광주광역시 서구 금호동 890,126.8562379,29140-00057,,1877.1,화개어린이공원,어린이공원,062-360-7697,,2026-06-29
,1996-12-30,,,,광주광역시 서구청,6290000,광주광역시,35.12215588,광주광역시 서구 금호동 862,126.8598843,29140-00058,,2322,햇살어린이공원,어린이공원,062-360-7697,,2026-06-29
,1991-12-26,,,,광주광역시 광산구,6290000,광주광역시,35.21288162,광주광역시 광산구 월계동 824-1,126.8409926,29200-00036,,2397.8,장고분어린이공원,어린이공원,062-960-6839,,2026-06-29
,1991-12-26,,,,광주광역시 광산구,6290000,광주광역시,35.16489644,광주광역시 광산구 우산동 1572-4,126.8082667,29200-00037,,5600.2,어등어린이공원,어린이공원,062-960-6839,,2026-06-29
,2001-04-03,,,,광주광역시 동구청,6290000,광주광역시,35.15854489,광주광역시 동구 계림동 53,126.9250135,29110-00007,,750,계림제1어린이공원,어린이공원,062-960-6839,,2026-06-29
,2007-04-20,,,,광주광역시 동구청,6290000,광주광역시,35.157576,광주광역시 동구 계림동 1820,126.9254867,29110-00015,,976.7,계림5-2소공원,소공원,062-960-6839,,2026-06-29
,1977-06-11,,,,광주광역시 북구청,6290000,광주광역시,35.14106318,광주광역시 광산구 신촌동 1207,126.8044352,29200-00002,,22854.2,신촌공원,근린공원,062-410-6436,,2026-06-29
,1977-12-30,,,,광주광역시 북구청,6290000,광주광역시,35.17632971,광주광역시 북구 용봉동 158-6,126.9139152,29170-00013,,2330,용흥어린이공원,어린이공원,062-410-6436,,2026-06-29
,1977-12-30,,,,광주광역시 북구청,6290000,광주광역시,35.17951694,광주광역시 북구 두암동 564-1,126.9278825,29170-00014,,2578.5,희망어린이공원,어린이공원,062-410-6436,,2026-06-29
,1977-12-30,,,,광주광역시 북구청,6290000,광주광역시,35.17713758,광주광역시 북구 두암동 588-5,126.9331757,29170-00015,,2205.9,꿈동산어린이공원,어린이공원,062-410-6436,,2026-06-29
,1979-01-20,,,,광주광역시 남구청,6290000,광주광역시,35.1811788,광주광역시 북구 우산동 595-5,126.9208874,29170-00016,,1747.8,무등어린이공원,어린이공원,062-607-3811,,2026-06-29
,1979-01-20,,,,광주광역시 남구청,6290000,광주광역시,35.13534966,광주광역시 남구 백운동 653-136,126.8971545,29155-00007,,753.6,세은3어린이공원,어린이공원,062-607-3811,,2026-06-29
,1979-01-20,,,,광주광역시 남구청,6290000,광주광역시,35.13650477,광주광역시 남구 월산동 1048-121,126.8958808,29155-00008,,402,세은4어린이공원,어린이공원,062-607-3811,,2026-06-29
,2009-07-15,,,,광주광역시 동구청,6290000,광주광역시,35.11799477,광주광역시 동구 용산동 670,126.9231157,29110-00021,,1574,용산어린이공원,어린이공원,062-960-6839,,2026-06-29
,2013-12-15,,,,광주광역시 동구청,6290000,광주광역시,35.12121592,광주광역시 동구 소태동 303,126.9367561,29110-00034,,420,지원3-2소공원,소공원,062-960-6839,,2026-06-29
,2016-06-01,,,,광주광역시 동구청,6290000,광주광역시,35.12248625,광주광역시 동구 용산동 751,126.9316593,29110-00037,,570.7,지원1-4소공원,소공원,062-960-6839,,2026-06-29
,2017-11-08,,,,광주광역시 동구청,6290000,광주광역시,35.13432076,광주광역시 동구 학동 692,126.9319604,29110-00042,,78,미량2소공원,소공원,062-960-6839,,2026-06-29
,1989-01-07,,,,광주광역시 서구청,6290000,광주광역시,35.14600773,광주광역시 서구 쌍촌동 1213,126.8631692,29140-00012,,2317.9,효광어린이공원,어린이공원,062-960-6839,,2026-06-29
,1992-08-06,,,,광주광역시 서구청,6290000,광주광역시,35.15986122,광주광역시 서구 농성동 417-8,126.8848394,29140-00024,,2084,농성공단어린이공원,어린이공원,062-960-6839,,2026-06-29
,1996-10-25,,,,광주광역시 서구청,6290000,광주광역시,35.164679,광주광역시 서구 유촌동 873,126.8619757,29140-00055,,1517.4,유덕어린이공원,어린이공원,062-960-6839,,2026-06-29
,1997-08-12,,,,광주광역시 서구청,6290000,광주광역시,35.12119653,광주광역시 서구 풍암동 903,126.863642,29140-00059,,2187.1,새누리어린이공원,어린이공원,062-960-6839,,2026-06-29
,1982-03-23,,,,광주광역시 서구청,6290000,광주광역시,35.15018971,광주광역시 광산구 신촌동 884-1,126.8064665,29200-00010,,1630,다정한어린이공원,어린이공원,062-360-7697,,2026-06-29
